Challenge Stats Technology List;Challenge Stats Challenge Name;Challenge Stats Challenge Copilot;Challenge Stats Posting Date Date;Challenge Stats Project Category Name;Challenge Stats Registration End Date Date;Challenge Stats Scheduled End Date Date;Challenge Stats Status Desc;Challenge Stats Submitby Date Date;Challenge Stats First Place Prize;Challenge Stats Avg Raw Score;Challenge Stats Avg Final Score;Challenge Stats Num Registrations;Challenge Stats Num Submissions;Challenge Stats Num Submissions Passed Review;Challenge Stats Num Valid Submissions;Challenge Stats Total Prize
0;[96hr]Poseidon developer portal Unit and e2e tests;copilot-a;2020-01-05;Code;2020-01-09;2020-01-12;Active;2020-01-09;800,00 US$;0;0;44;0;0;0;1.200,00 US$
0;Clearwater - Page Analysis Tool Update Challenge;Copilot-b;2020-01-03;Code;2020-01-05;2020-01-11;Active;2020-01-08;900,00 US$;0;0;40;0;0;0;1.350,00 US$
Ionic,TypeScript,UI Prototype;Juno - Augmented Reality Application;copilot-c;2020-01-04;Code;2020-01-08;2020-01-12;Active;2020-01-09;1.200,00 US$;0;0;41;0;0;0;1.800,00 US$
0;Poseidon LPC Payment Backend API Unit and E2E Tests;copilot-c;2020-01-03;Code;2020-01-07;2020-01-12;Active;2020-01-08;800,00 US$;0;0;46;0;0;0;1.200,00 US$
Android,Appium,Python,iOS;[72h] PoC - Appium Development VoLTE Test;copilot-c;2020-01-02;Code;2020-01-05;2020-01-09;Active;2020-01-05;800,00 US$;0;0;31;6;6;6;1.200,00 US$
Apache Kafka,Elasticsearch,Node.js;Submission API | Fix Tests;copilot-d;2020-01-01;Code;2020-01-03;2020-01-08;Active;2020-01-04;800,00 US$;0;0;43;4;4;4;1.200,00 US$
Elasticsearch,Node.js,PostgreSQL;Topcoder Project Service - Report ES/DB Data Mismatches - part 1 [repost];copilot-e;2020-01-02;Code;2020-01-07;2020-01-10;Active;2020-01-07;1.200,00 US$;0;0;52;1;1;1;1.800,00 US$
Angular 2+,JavaScript,Node.js;[72hr]Poseidon's developer portal FrontEnd-Backend Integration Part 1;copilot-a;2019-12-29;Code;2020-01-01;2020-01-02;Completed;2020-01-01;600,00 US$;94,47;94,47;59;7;6;7;900,00 US$
HTML,JavaScript,Node.js,Office365,XML;Email ID's Limitation - Outlook Add-in Desktop support & small tweaks;copilot-f;2019-12-28;Code;2020-01-02;2020-01-04;Completed;2020-01-02;600,00 US$;100;100;33;1;1;1;900,00 US$
.NET,C#,QA,Selenium;ABB RCS - Automated testing implementation and report generation - Sprint 3 - Part 2;copilot-f;2019-12-27;Code;2020-01-01;2020-01-04;Cancelled - Client Request;2020-01-01;1.000,00 US$;0;0;22;0;0;0;1.500,00 US$
Angular 4;[96 hrs] Talkscript Designer - Part 1;Copilot-g;2019-12-27;Code;2019-12-31;2020-01-03;Completed;2020-01-01;1.000,00 US$;73,08;84,91;44;2;2;2;1.500,00 US$
Angular 2+,Node.js,PostgreSQL;SIA - Smart Investment Advisor: Node.js admin app;Copilot-m;2019-12-27;Code;2020-01-02;2020-01-05;Completed;2020-01-02;1.400,00 US$;93,5;94,83;49;2;2;2;2.100,00 US$
Angular 4,Node.js,QA,TypeScript;PexComm - Bug Bash;copilot-c;2019-12-26;Code;2020-01-01;2020-01-19;Active;2020-01-15;2.400,00 US$;0;0;49;3;3;3;3.600,00 US$
HTML,JavaScript,Jekyll,SCSS; Poseidon developer portal Jekyll theme;copilot-a;2019-12-26;Code;2019-12-30;2020-01-02;Completed;2019-12-31;1.000,00 US$;79,1;79,9;30;5;3;5;1.500,00 US$
Java,ReactJS;Clearwater - Page Analysis Sonarqube Plugin PoC;Copilot-b;2019-12-26;Code;2019-12-28;2020-01-02;Completed;2019-12-31;1.000,00 US$;97;97;30;1;1;1;1.500,00 US$
Elasticsearch,Node.js,PostgreSQL;Topcoder Project Service - Report ES/DB Data Mismatches - part 1 [repost];copilot-e;2019-12-25;Code;2019-12-30;2020-01-03;Cancelled - Zero Submissions;2019-12-30;1.000,00 US$;0;0;32;0;0;0;1.500,00 US$
Python;Bijli - OCR Challenge;copilot-z;2019-12-24;Code;2020-01-01;2020-01-04;Draft;2020-01-01;2.000,00 US$;0;0;0;0;0;0;3.400,00 US$
Python;Bijli - OCR Challenge;copilot-z;2019-12-24;Code;2020-01-01;2020-01-04;Draft;2020-01-01;2.000,00 US$;0;0;0;0;0;0;3.400,00 US$
